id,rkaccountcode,rkaccountname,rkaccounttype,created_at,updated_at
273,100000,Share Capital,Liabilities,2018-04-08 18:03:36.098151,2018-04-08 18:03:36.098151
274,100001,Reserves & Surplus,Liabilities,2018-04-08 18:03:36.194314,2018-04-08 18:03:36.194314
275,100002,Accumulated Depreciation,Liabilities,2018-04-08 18:03:36.305289,2018-04-08 18:03:36.305289
276,100003,Secure Loans,Liabilities,2018-04-08 18:03:36.405452,2018-04-08 18:03:36.405452
277,100004,Unsecured Loans,Liabilities,2018-04-08 18:03:36.518976,2018-04-08 18:03:36.518976
278,100005,Current Liabilities,Liabilities,2018-04-08 18:03:36.606118,2018-04-08 18:03:36.606118
279,100006,Bank OD,Liabilities,2018-04-08 18:03:36.705961,2018-04-08 18:03:36.705961
280,100007,Bank OCC Account,Liabilities,2018-04-08 18:03:36.807773,2018-04-08 18:03:36.807773
281,100008,Provision,Liabilities,2018-04-08 18:03:36.976034,2018-04-08 18:03:36.976034
282,100009,Duties & Taxes,Liabilities,2018-04-08 18:03:37.185974,2018-04-08 18:03:37.185974
283,100010,Sundry Creditors,Liabilities,2018-04-08 18:03:37.284557,2018-04-08 18:03:37.284557
284,100011,Division,Liabilities,2018-04-08 18:03:37.383888,2018-04-08 18:03:37.383888
285,200000,Fixed Assets,Assets,2018-04-08 18:03:37.485472,2018-04-08 18:03:37.485472
286,200001,Investment,Assets,2018-04-08 18:03:37.584455,2018-04-08 18:03:37.584455
287,200002,Bank Account,Assets,2018-04-08 18:03:37.683479,2018-04-08 18:03:37.683479
288,200003,Cash in Hand,Assets,2018-04-08 18:03:37.783257,2018-04-08 18:03:37.783257
289,200004,Stock in Hand,Assets,2018-04-08 18:03:37.871912,2018-04-08 18:03:37.871912
290,200005,Current Assets,Assets,2018-04-08 18:03:37.973161,2018-04-08 18:03:37.973161
291,200006,Deposit (Assets),Assets,2018-04-08 18:03:38.072177,2018-04-08 18:03:38.072177
292,200007,Loan & Advances (Assets),Assets,2018-04-08 18:03:38.159032,2018-04-08 18:03:38.159032
293,200008,Misc. Expenses (Assets),Assets,2018-04-08 18:03:38.250779,2018-04-08 18:03:38.250779
294,200009,Sundry Debtors,Assets,2018-04-08 18:03:38.341360,2018-04-08 18:03:38.341360
295,300000,Sales A/c,Income,2018-04-08 18:03:38.439237,2018-04-08 18:03:38.439237
296,300001,Direct Income,Income,2018-04-08 18:03:38.528123,2018-04-08 18:03:38.528123
297,300002,Indirect Income,Income,2018-04-08 18:03:38.627262,2018-04-08 18:03:38.627262
298,300003,Increase / Deserase in Stock,Income,2018-04-08 18:03:38.716339,2018-04-08 18:03:38.716339
299,400000,Raw Material Consumption,Expenditure,2018-04-08 18:03:38.817108,2018-04-08 18:03:38.817108
300,400001,Personnel Cost,Expenditure,2018-04-08 18:03:38.905771,2018-04-08 18:03:38.905771
301,400002,Manufacturing Expenses,Expenditure,2018-04-08 18:03:38.995554,2018-04-08 20:24:52.305355
302,400003,Administration Expenses,Expenditure,2018-04-08 18:03:39.106258,2018-04-08 20:25:11.166766
303,400004,Interest Expenses,Expenditure,2018-04-08 18:03:39.217624,2018-04-08 20:24:10.328467
304,400005,Depreciation,Expenditure,2018-04-08 18:03:39.316518,2018-04-08 18:03:39.316518
305,400006,Direct Expenses,Expenditure,2018-04-08 18:03:39.405660,2018-04-08 18:03:39.405660
306,400007,Purchase A/c,Expenditure,2018-04-08 18:03:39.509318,2018-04-08 18:03:39.509318
307,400008,Indirect Expenses,Expenditure,2018-04-08 18:03:39.608661,2018-04-08 18:03:39.608661
308,400009,Marketing,Expenditure,2018-04-08 18:03:39.704873,2018-04-08 18:03:39.704873
